casual,registered,workingday
1319,5711,yes
2622,4807,no
2172,3946,no
342,2501,yes
625,4490,yes
991,6433,yes
1242,6142,yes
1521,6118,yes
3410,4884,no
2704,4425,no
630,3729,yes
819,5254,yes
766,4494,yes
1059,5711,yes
1417,5317,yes
2855,3681,no
3283,3308,no
2557,3486,no
880,4863,yes
745,6110,yes
1100,6238,yes
533,3594,yes
2795,5325,no
2494,5147,no
1071,5927,yes
968,6033,yes
1027,6028,yes
1038,6456,yes
1488,6248,yes
2708,4790,no
2224,4374,no
1017,5647,yes
477,4495,yes
1173,6248,yes
1180,6183,yes
1563,6102,yes
2963,4739,no
2634,4344,no
653,4446,yes
968,5857,yes
872,5339,yes
778,5127,yes
964,4859,yes
2657,4801,no
2551,4340,no
1139,5640,yes
1077,6365,yes
1077,6258,yes
921,5958,yes
829,4634,yes
1455,4232,no
1421,4110,no
904,5323,yes
1052,5608,yes
2562,4841,no
1405,4836,yes
1366,4841,yes
1448,3392,no
1203,3469,no
998,5571,yes
954,5336,yes
975,6289,yes
1032,6414,yes
1511,5988,yes
2355,4614,no
1920,4111,no
1088,5742,yes
921,5865,yes
799,4914,yes
888,5703,yes
747,5123,yes
1264,3195,no
2544,4866,no
1135,5831,yes
1140,6452,yes
1383,6790,yes
1036,5825,yes
1259,5645,yes
2234,4451,no
2153,4444,no
1040,6065,yes
968,6248,yes
1074,6506,yes
983,6278,yes
1328,5847,yes
2345,4479,no
1707,3757,no
1233,5780,yes
1278,5995,yes
1263,6271,yes
1196,6090,yes
1065,4721,yes
2247,4052,no
2182,4362,no
1207,5676,yes
1128,5656,yes
1198,6149,yes
1338,6267,yes
1483,5665,yes
2827,5038,no
1208,3341,no
1026,5504,yes
1081,5925,yes
1094,6281,yes
1363,6402,yes
1325,6257,yes
1829,4224,no
1483,3772,no
989,5928,yes
935,6105,yes
1177,6520,yes
1172,6541,yes
1433,5917,yes
2352,3788,no
2613,3197,no
1965,4069,no
867,5997,yes
832,6280,yes
611,5592,yes
1045,6459,yes
1557,4419,no
2570,5657,no
1118,6407,yes
1070,6697,yes
1050,6820,yes
1054,6750,yes
1379,6630,yes
3160,5554,no
2166,5167,no
1022,5847,yes
371,3702,yes
788,6803,yes
939,6781,yes
1250,6917,yes
2512,5883,no
2454,5453,no
1001,6435,yes
845,6693,yes
787,6946,yes
751,6642,yes
1045,6370,yes
2589,5966,no
2015,4874,no
763,6015,yes
315,4324,yes
728,6844,yes
891,6437,yes
1516,6640,yes
3031,4934,no
781,2729,no
874,4604,no
601,5791,yes
780,6911,yes
834,6736,yes
1060,6222,yes
2252,4857,no
2080,4559,no
760,5115,yes
922,6612,yes
979,6482,yes
1008,6501,yes
753,4671,yes
2806,5284,no
2132,4692,no
830,6228,yes
841,6625,yes
795,6898,yes
875,6484,yes
1182,6262,yes
2643,5209,no
998,3461,no
2,20,yes
87,1009,yes
419,5147,yes
466,5520,yes
618,5229,yes
1029,4109,no
1201,3906,no
378,4881,yes
466,5220,yes
326,4709,yes
340,4975,yes
709,5283,yes
2090,4446,no
2290,4562,no
1097,5172,no
327,3767,yes
373,5122,yes
320,5125,yes
484,5214,yes
1313,4316,no
922,3747,no
449,5050,yes
534,5100,yes
615,4531,yes
955,1470,no
1603,2307,yes
532,1745,no
309,2115,no
337,4750,yes
123,3836,yes
198,5062,yes
243,5080,yes
362,5306,yes
951,4240,no
892,3757,no
555,5679,yes
551,6055,yes
331,5398,yes
340,5035,yes
349,4659,yes
1153,4429,no
441,2787,no
329,4841,yes
282,5219,yes
310,5009,yes
425,5107,yes
429,5182,yes
767,4280,no
538,3248,no
212,4373,yes
433,5124,yes
333,4934,yes
314,3814,yes
221,3402,yes
205,1544,no
408,1379,no
174,746,yes
440,573,no
9,432,yes
247,1867,yes
644,2451,yes
159,1182,no
364,1432,no
439,2290,yes
